utt,labels,tokenized
okay,['0'],[0]
open open people are released,['0'],[0]
yeah that's for sure,['0'],[0]
I'ma start working in them A2,['Room'],[3]
I miss you too,['0'],[0]
sounds good,['0'],[0]
there's a critical in your just let me know when you need,"['CriticalVictim', 'KnowledgeSharing']","[1, 13]"
transporter I'll need your help in A1 we have an a victim but a label,"['Room', 'Plan', 'HelpRequest', 'KnowledgeSharing', 'Transporter', 'Victim']","[3, 20, 16, 13, 5, 2]"
this is transporter on the way checking room Zone the way,['Transporter'],[5]
okay,['0'],[0]
we should capitalize on critical victims first so let's get A2 followed by B8,"['Room', 'Room', 'CriticalVictim']","[3, 3, 1]"
all right I'm in,['0'],[0]
yes,['0'],[0]
on my way hold on a second are you A2 still engineer fantastic make your way over to Aid if you don't mind actually A4,"['Room', 'Room', 'Plan', 'Engineer', 'Move']","[3, 3, 20, 4, 10]"
did you get the critical,"['CriticalVictim', 'RescueInteractions', 'YesNoQuestion']","[1, 12, 18]"
I'll go red E4 what did you get the critical victim,"['CriticalVictim', 'Plan', 'Room', 'Move', 'RescueInteractions']","[1, 20, 3, 10, 12]"
fantastic,['0'],[0]
okay,['0'],[0]
there will be a critical victim in A2 marker for you,"['Room', 'CriticalVictim', 'MarkerBlock']","[3, 1, 8]"
Fiona got real quick,['0'],[0]
gorgeous,['0'],[0]
for we doing great here,['0'],[0]
sorry to the guys who are critical but we're going to prioritize critical first,['0'],[0]
this is a transporter I will check C ones and see what or not,"['CriticalVictim', 'Plan', 'Search', 'Transporter']","[1, 20, 15, 5]"
okay let's get this guy real quick and engineer,"['Engineer', 'Instruction']","[4, 19]"
that's pretty red needed an a for we get them to get critical,['0'],[0]
understood,['0'],[0]
E4 A2 B8 engineer fantastic,"['Room', 'Room', 'Room', 'Engineer']","[3, 3, 3, 4]"
yep,['0'],[0]
there is a b outside he have the chance B don't prioritize it transporter,['Transporter'],[5]
understood,['0'],[0]
close is there another critical here,['0'],[0]
we have four more,['0'],[0]
four more,['0'],[0]
all right transport a bear is a critical in B8 and it's a threat room to watch out,"['Room', 'CriticalVictim', 'ReportLocation', 'Room', 'Transporter']","[3, 1, 14, 3, 5]"
this is transport understood heading to B8,"['Room', 'Move', 'Transporter']","[3, 10, 5]"
okay I believes B7,['Room'],[3]
critical,['0'],[0]
let's make a way to B7 engineer,"['Room', 'Engineer', 'Instruction']","[3, 4, 19]"
it's just two regular victims here,"['Victim', 'Victim']","[2, 2]"
heck all right I'm just going to save all the save him,['0'],[0]
B,['0'],[0]
B7,['Room'],[3]
this is transporter what's your location,['Transporter'],[5]
I think it's time for this,['0'],[0]
no time,['0'],[0]
oh damn,['0'],[0]
unfortunate whoa 800 points not half bad,['0'],[0]
I think if you already,['0'],[0]
transport is done,['Transporter'],[5]
engineer Stone,['Engineer'],[4]
all right medic is done,['Medic'],[6]
let us know,['Instruction'],[19]
Let It Snow,['Instruction'],[19]
in any case we're going to do a check in after,['Precedence'],[11]
save for you,['Instruction'],[19]
fantastic,['0'],[0]
sounds good thank you,['0'],[0]
medic is back,['Medic'],[6]
transporter is back,['Transporter'],[5]
medic has a cat in their lap now,['Medic'],[6]
engineer is back,['Engineer'],[4]
awesome,['0'],[0]
you sound good,['0'],[0]
my audio okay yes,['0'],[0]
what do you eat,['0'],[0]
one by one medic,['Medic'],[6]
yes I am medic is ready,['Medic'],[6]
transport is ready,['Transporter'],[5]
engineer is ready,['Engineer'],[4]
yes can you not hear me,['YesNoQuestion'],[18]
okay,['0'],[0]
yeah,['0'],[0]
yeah the server's up in the mission,['0'],[0]
they are stupid,['0'],[0]
Palmdale,['0'],[0]
also let us know do not proceed to the next slide so I'm going to start the one minute I want to say it again please continue but while you're reading,['Plan'],[20]
is not found,['0'],[0]
one it one minute to help,['0'],[0]
so I will set the timer and 21 in one minute,['Plan'],[20]
Okay one minute,['0'],[0]
yeah,['0'],[0]
Okay one minute timer is up please and Adam basically friend yeah they're close Okay green participants as a reminder you're encouraged to communicate with your teammates during the mission always blue suit your extended to make sure that it's your call zone for example if your engineer today this is ground janilla,['Engineer'],[4]
awesome,['0'],[0]
Israel also that Revival of a wall will be at the starting zone and we will meeting there for two minutes B uses,"['Plan', 'Meeting']","[20, 9]"
okay so please join server one and as usual grab your role and little Earth and on your color player,['Instruction'],[19]
Bobby role,['0'],[0]
everyone,['0'],[0]
move over one,['0'],[0]
help,['0'],[0]
another word for medic,['Medic'],[6]
F4 engineer,"['Engineer', 'Room']","[4, 3]"
engineer,['Engineer'],[4]
so now that you're all facing the wall after five second countdown to move B will start remember the wall will disappear after 2 minutes and then enter the question building do you have any questions before we begin now from transporter I4 engineer,"['Engineer', 'Transporter', 'YesNoQuestion', 'Move', 'Room', 'Precedence', 'Precedence', 'Precedence', 'Precedence']","[4, 5, 18, 10, 3, 11, 11, 11, 11]"
then we will start in 5 4 3 2 1 all right,"['Plan', 'Precedence']","[20, 11]"
when we will start in five four three two all right great job last time I think that our strategy worked out pretty well personally I think that I just put two and two together we should highly prioritized a meeting set er down there in the critical Mission information I looked at it last time but I think that should be a priority meeting that I don't think that transport C I don't think you have to check those because those should be sure that they're there so I think you just,"['Victim', 'CriticalVictim', 'Plan', 'Meeting', 'Meeting', 'Plan', 'Search', 'Search', 'Transporter']","[2, 1, 20, 9, 9, 20, 15, 15, 5]"
on transport you should capitalize the ones that are not mentioned and the critical Mission information just to confirm we all see that A1 A4 B2 B6 etcetera,"['Room', 'Room', 'Room', 'Room', 'CriticalVictim', 'Transporter']","[3, 3, 3, 3, 1, 5]"
yeah,['0'],[0]
this is transporter no I do not see that,['Transporter'],[5]
you do not see that interesting alright so transporter please on the left side do not check A1 A4 B2 or B6 in fact what is your guys's critical meeting admission information look like,"['Room', 'Room', 'Room', 'Room', 'Meeting', 'Search', 'Search', 'Transporter']","[3, 3, 3, 3, 9, 15, 15, 5]"
transporter my critical Mission says on the left side red two or more attendees in technical exchange meeting lunch management meeting in the middle,"['Meeting', 'Meeting', 'Meeting', 'Transporter']","[9, 9, 9, 5]"
as orange one attendees IT training facilities meeting Human Resources meeting and on the green cancelled storage reorganization zoom2 meeting and zoom2 from the office,"['Meeting', 'Meeting', 'Meeting', 'Meeting']","[9, 9, 9, 9]"
this is engineer my current location information of the severe damage is i2a,['Engineer'],[4]
this is engineer my critical Mission information tells me rooms with no damage so the severe damage is in i2a G3 B6 moderate has A1 F4 B2 mild this M1 D4 A4,"['Room', 'Room', 'Room', 'Room', 'Room', 'Room', 'Engineer', 'Room', 'Room']","[3, 3, 3, 3, 3, 3, 4, 3, 3]"
engineer severe damage i2a fantastic so mind tells me basically where there's a large grouping of people as medic engineer years tells you where is it there's a lot of damage and then what is yours tell you transporter,"['Engineer', 'Engineer', 'KnowledgeSharing', 'Question', 'Medic', 'Precedence', 'Precedence', 'Transporter']","[4, 4, 13, 17, 6, 11, 11, 5]"
what Ariel is had a question gotcha,['0'],[0]
this transfer I believe it's saying what areas have at least two or more attendees one attendees and cancelled so where people probably are not,['0'],[0]
yes,['0'],[0]
okay,['0'],[0]
so that's just extra information for you know friend fantastic so in that case if there's nothing for you to do please follow the critical Mission information button that b clearing out debris marking stuff or whatever y'all were doing great last time but you see we can optimize stuff,"['CriticalVictim', 'Plan']","[1, 20]"
is it transporter we still going right,['Transporter'],[5]
okay,['0'],[0]
we are going to go right yes starting off at the green said,['Plan'],[20]
okay this is engineer starting with i1,"['Engineer', 'Room']","[4, 3]"
red H1 actually engineer,"['Engineer', 'Room']","[4, 3]"
okay H1,['Room'],[3]
on my way,['Move'],[10]
starting with i1 on my way accurate,"['Room', 'Move']","[3, 10]"
actually never mind continue on die one I'll get this,['Plan'],[20]
all right,['0'],[0]
all right,['0'],[0]
transporter got a B victim for you in H1,"['Room', 'KnowledgeSharing', 'Transporter', 'Victim', 'Victim']","[3, 13, 5, 2, 2]"
transport,['Transporter'],[5]
is transporter should,['Transporter'],[5]
critical victim and I2,"['CriticalVictim', 'Room']","[1, 3]"
and pass take please break the will once you or please break the B once you have rescue the victim transporter,"['Instruction', 'Instruction', 'Transporter', 'Victim']","[19, 19, 5, 2]"
fantastic I'll be there in a sec,['Move'],[10]
there's a critical victim I2 mmm okay,"['CriticalVictim', 'Room']","[1, 3]"
there's a victim I do,"['KnowledgeSharing', 'Victim']","[13, 2]"
transporter there is an A and B victim labeled in what's room is this one J1,"['Room', 'KnowledgeSharing', 'Transporter', 'Victim']","[3, 13, 5, 2]"
it's transport having a hard time finding that b,['Transporter'],[5]
Zone B this is engineer,['Engineer'],[4]
in H1 oh I see I see,['Room'],[3]
classic due to label the critical victim for you transporter there is no critical victim for you and I2,"['CriticalVictim', 'CriticalVictim', 'Room', 'KnowledgeSharing', 'Transporter']","[1, 1, 3, 13, 5]"
understood,['0'],[0]
let's go to i2a engineer,"['Engineer', 'Instruction']","[4, 19]"
wait,['0'],[0]
you got that one,['0'],[0]
i2a Zone i2a was the severe one so that was the one we already took care of,['0'],[0]
sorry man I3 there we go,"['Room', 'Move']","[3, 10]"
okay,['0'],[0]
yes please,['Instruction'],[19]
is it transported you want me to break the carpets or no,['0'],[0]
Herbert when you're finished engineer I need your help and i3a,"['Engineer', 'HelpRequest']","[4, 16]"
I'm on my way,['Move'],[10]
awesome transporter is a critical person for you and i3a let me know if this gets too much for you,"['Plan', 'CriticalVictim', 'Transporter']","[20, 1, 5]"
engineer please if you wouldn't mind taking your way to the next place that needs to be cleared,"['Plan', 'Engineer']","[20, 4]"
perfect,['0'],[0]
okay,['0'],[0]
this is transporter heading to i3a,['Transporter'],[5]
remember to brake and put back the carpets you're finished there,['0'],[0]
44 no victim,['Victim'],[2]
correct,['0'],[0]
understood,['0'],[0]
always good fine engineer all right,['Engineer'],[4]
all right,['0'],[0]
there's a critical victim for you in L3,"['CriticalVictim', 'KnowledgeSharing', 'Room']","[1, 13, 3]"
transporter on the way,['Transporter'],[5]
this is medic I transported you confirm you've already gotten the i3a victim correct,"['Medic', 'Victim']","[6, 2]"
okay,['0'],[0]
a transporter okay fantastic,['Transporter'],[5]
is a transporter yes correct,['Transporter'],[5]
a testicle is there was anyone in K3,"['Room', 'KnowledgeSharing']","[3, 13]"
in K3,['Room'],[3]
when you scream,['0'],[0]
no,['0'],[0]
room K3,['Room'],[3]
perfect perfect,['0'],[0]
no victim Zone here,['Victim'],[2]
this is transporter I was meeting the victims in looks like J1 and I'm on the way to L3,"['Room', 'Room', 'Meeting', 'Transporter', 'Victim']","[3, 3, 9, 5, 2]"
fantastic awesome,['0'],[0]
okay doesn't seem like,['0'],[0]
no as I'm on my way,['Move'],[10]
all right I got a victim here but I'll take care of him who actually save up a critical victim and K1 a,"['CriticalVictim', 'Plan', 'Room', 'KnowledgeSharing', 'RescueInteractions', 'Victim']","[1, 20, 3, 13, 12, 2]"
all right this would be victim room,['Victim'],[2]
engineer is here,['Engineer'],[4]
let's put our lives on the map or an a victim is if you what am I getting them,"['Victim', 'Victim']","[2, 2]"
friend,['0'],[0]
understood on the way,['0'],[0]
they look so funky when they're awake,['Search'],[15]
is a transporter where you C critical in K1,"['Room', 'Transporter']","[3, 5]"
ain't that just like there's also a critical victim critical is k1 yes I labeled the critical and the other one is an A in fact I'll take care B you stick it there you go,"['CriticalVictim', 'CriticalVictim', 'Plan', 'Room', 'KnowledgeSharing', 'ReportLocation']","[1, 1, 20, 3, 13, 14]"
okay on my way to yes I'm working on them,['Move'],[10]
that's the engineer that started working on LR an m and pastic,['Engineer'],[4]
ahead of the game,['0'],[0]
got something mild in M1,['Room'],[3]
oh boy that's always fun,['0'],[0]
and no victims okay,['Victim'],[2]
all right,['0'],[0]
this is transporter you said critical and K understood,['Transporter'],[5]
God,['0'],[0]
yeah we've got,['0'],[0]
believe,['Instruction'],[19]
blue do I,['0'],[0]
just Zone like M2 R M3 die I have nothing on my mission information but it doesn't hurt to check,"['HelpRequest', 'Room', 'Room', 'Search']","[16, 3, 3, 15]"
nope okay okay,['0'],[0]
this is transported what's your location,['0'],[0]
critical work,['0'],[0]
this is transporter what's your location,['Transporter'],[5]
understood all the way,['0'],[0]
where,['0'],[0]
let's just work our way to H1 or I guess I overdid B1,"['Room', 'Room']","[3, 3]"
is it transporter you said M3 was critical,"['Room', 'Transporter']","[3, 5]"
okay,['0'],[0]
correct,['0'],[0]
understood,['0'],[0]
oh hey we are 20 seconds at a time last time,['0'],[0]
engineer what station right now,['Engineer'],[4]
fantastic,['0'],[0]
I'm currently I just left the M section I'm all the way in the corner of the map so,['0'],[0]
I'm going to start at G3 this is medic Hall strategy G3,"['Plan', 'Room', 'Room', 'Medic', 'Plan', 'ReportLocation']","[20, 3, 3, 6, 20, 14]"
close transporter room it's a transporter regular victim and I4,"['Room', 'Victim', 'Transporter', 'Transporter', 'Victim']","[3, 2, 5, 5, 2]"
I4,['Room'],[3]
I will come back to them in a sec,['Plan'],[20]
G3 Red Save,"['Room', 'Instruction']","[3, 19]"
this is engineer where are you medic,"['Engineer', 'Medic']","[4, 6]"
I am going over to die for,['Plan'],[20]
I4 okay,['Room'],[3]
I'd say you keep going over to the B section clear any debris that you need,['0'],[0]
yes okay also clear got,['0'],[0]
I4 C okay yes this is there this is transporter though is to victims in i4a,"['Room', 'Transporter', 'Victim']","[3, 5, 2]"
you care of it it's B,['0'],[0]
all right this is A2 near there are two victims in D4 one of them is critical,"['Room', 'Room', 'KnowledgeSharing', 'ReportLocation', 'Victim']","[3, 3, 13, 14, 2]"
before I'm on my way,"['Move', 'Precedence']","[10, 11]"
engineer this is an a victim,"['Engineer', 'Victim', 'Victim']","[4, 2, 2]"
before,['0'],[0]
D4,['Room'],[3]
people,['0'],[0]
Isaac,['0'],[0]
try to clear some debris while you have time,['0'],[0]
yes,['0'],[0]
engineer are transported where you going,"['Engineer', 'Question']","[4, 17]"
this is transporter I'm checking i3a,"['Search', 'Transporter']","[15, 5]"
all clear,['0'],[0]
add red help sight smoking enter D4,"['Room', 'Move']","[3, 10]"
D4 okay,['Room'],[3]
oh is it is a transporter stuck in i3,"['HelpRequest', 'Room', 'Transporter']","[16, 3, 5]"
engineer on the window E4 and then I wasn't,"['Room', 'Engineer', 'Precedence']","[3, 4, 11]"
engineer on the way to D4 and then I will make my way over to i3,"['Room', 'Plan', 'Engineer', 'Room', 'Precedence']","[3, 20, 4, 3, 11]"
help me stabilize this person before we head over to I3 awesome,"['Instruction', 'Room', 'Instruction', 'Move', 'Precedence', 'RescueInteractions', 'Victim']","[19, 3, 19, 10, 11, 12, 2]"
yes I am currently in D4,"['Room', 'ReportLocation']","[3, 14]"
I am claiming people,['0'],[0]
this is engineer where you medic,"['Engineer', 'Medic']","[4, 6]"
enter c B4 South entrance did before,"['Room', 'Move']","[3, 10]"
this is engineer worrying,['Engineer'],[4]
that's what let me see what is this kid and then we'll be on our way,"['Precedence', 'Precedence']","[11, 11]"
all right friend has a cut over I3 already,['Room'],[3]
all right this is engineer I'm on my way to i3,"['Engineer', 'Room', 'Move']","[4, 3, 10]"
this transporter understood,['Transporter'],[5]
it's going to take me a minute I'm so slow,['0'],[0]
it's going to take me a minute,['0'],[0]
all right this is medic on destroy the a section cuz you know where people are there,['Medic'],[6]
all right,['0'],[0]
I think we should have Brandon,['0'],[0]
this transporter turnaround engineer turn around,"['Engineer', 'Instruction', 'Transporter']","[4, 19, 5]"
I3 correct,['Room'],[3]
sorry,['0'],[0]
Jacob,['0'],[0]
thank you,['0'],[0]
this is medic there's a different than there was last time,['Medic'],[6]
this is transporter medic what is your location,"['Medic', 'Transporter']","[6, 5]"
I am in B1 right now there is an a victim there I think actually can you go to D4 first there's a b victim,"['Room', 'YesNoQuestion', 'Room', 'KnowledgeSharing', 'KnowledgeSharing', 'Move', 'ReportLocation', 'Victim', 'Victim', 'Victim', 'Victim']","[3, 18, 3, 13, 13, 10, 14, 2, 2, 2, 2]"
understood,['0'],[0]
I live with them on the map,['0'],[0]
and here let's go to head where you go next,"['Instruction', 'Question']","[19, 17]"
make a decision let's start on the left side just because that's an easier said than have a gate,['Instruction'],[19]
C2 please,"['Room', 'Instruction']","[3, 19]"
this is engineer what room do you want me to go to all right,"['Engineer', 'YesNoQuestion']","[4, 18]"
this is transporter I'm stuck in D4,"['HelpRequest', 'Room', 'Transporter']","[16, 3, 5]"
this engineer I will make my way over to D4 once we get this critical victim,"['CriticalVictim', 'Room', 'Plan', 'Engineer', 'RescueInteractions']","[1, 3, 20, 4, 12]"
oh,['0'],[0]
there is no victim here this is a generic I'm home awaited D4,"['Room', 'KnowledgeSharing', 'Victim']","[3, 13, 2]"
I've lost GPS,['0'],[0]
so have I,['0'],[0]
fantastic,['0'],[0]
fellas,['0'],[0]
I'm assuming this is part of the simulation,['0'],[0]
all right,['0'],[0]
same here use color codes based on we know areas we can still do it,['Plan'],[20]
yes,['0'],[0]
transporter,['Transporter'],[5]
all right where are you transporting,['0'],[0]
yep,['0'],[0]
we are thank you can remember that okay D4,"['Room', 'Plan']","[3, 20]"
engineer let's head over to the right section or so the left section go to B A says,['Engineer'],[4]
all right,['0'],[0]
and pastic,['0'],[0]
for critical victim C if you can I'm in C if you're now there are two critical D1 critical victim is E3,"['CriticalVictim', 'CriticalVictim', 'Room', 'Room', 'ReportLocation']","[1, 1, 3, 3, 14]"
she's right I'm on my way to C3,"['Room', 'Move']","[3, 10]"
C3 is block by gravel,"['Room', 'Rubble']","[3, 7]"
all right once you get here would you mind clearing the way they're engineer,['Engineer'],[4]
B critical victim further down in C6 this transporter,"['Room', 'CriticalVictim', 'Transporter']","[3, 1, 5]"
perfect I'll be there,"['Plan', 'Move']","[20, 10]"
I guess if there are two people in C3 I labeled them transport if you don't mind,"['Room', 'Plan', 'Plan']","[3, 20, 20]"
this is medic on my way to C6,"['Room', 'Medic', 'Move']","[3, 6, 10]"
all right this engineer in C6,"['Room', 'Engineer']","[3, 4]"
fantastic,['0'],[0]
awesome,['0'],[0]
all right this is an a victim are still critical victim in C6 if you don't mind I'll mark them on map expression C,"['Room', 'CriticalVictim', 'Plan', 'Victim']","[3, 1, 20, 2]"
this is transporter stuck in C3,"['HelpRequest', 'Room', 'Transporter']","[16, 3, 5]"
Isaac,['0'],[0]
this is engineer on my way to C3,"['Room', 'Engineer', 'Move']","[3, 4, 10]"
clear,['0'],[0]
sabbatical work my way to C7 now,['Room'],[3]
medic,['Medic'],[6]
C6 bill is critical transporter,"['Room', 'Transporter']","[3, 5]"
help,['0'],[0]
I need help getting in is the medic I need help getting into C7 here engineer,"['Room', 'Engineer', 'HelpRequest', 'HelpRequest', 'Medic']","[3, 4, 16, 16, 6]"
this is near on my way to C7,"['Room', 'Move']","[3, 10]"
no victim,['Victim'],[2]
good,['0'],[0]
I just got my back is another person over here engineer there's no gravel,"['Engineer', 'KnowledgeSharing', 'Rubble']","[4, 13, 7]"
where,['0'],[0]
so our Western here,['0'],[0]
what,['0'],[0]
nope oh map is darker,['0'],[0]
hey sweetie going over to C8,"['Room', 'Move']","[3, 10]"
oh yes this is transporter you said critical and C7 or C6,"['Room', 'Room', 'Transporter']","[3, 3, 5]"
that's correct c c sorry C6,"['Room', 'ReportLocation']","[3, 14]"
C6 R this is engineer where are you medic,"['Room', 'Engineer', 'Medic']","[3, 4, 6]"
and open C8 medic is and C8,"['Room', 'Room', 'Medic']","[3, 3, 6]"
on my way,['Move'],[10]
do you have a critical victim in C8,"['Room', 'CriticalVictim', 'KnowledgeSharing', 'YesNoQuestion']","[3, 1, 13, 18]"
I'm not sure about C it ain't help clearing it,['0'],[0]
all right,['0'],[0]
gravel transporter C7 there we go thank you no victim critical,"['Room', 'Victim', 'Rubble', 'Transporter']","[3, 2, 7, 5]"
does not look like it,['0'],[0]
all right and that case transporter was running around and just like checking serious,"['Search', 'Transporter']","[15, 5]"
we have not as medic b or not,['Medic'],[6]
it does not look like it all right I can't move his transporter how we check the F and E region all right,"['Move', 'Search', 'Search', 'Transporter']","[10, 15, 15, 5]"
all right this is medic I'm gonna go over to B8 I'm gonna work on the B still,"['Room', 'Medic']","[3, 6]"
all right this is engineer there's a critical victim and B6 there's three critical victim Zone B6,"['Room', 'Room', 'CriticalVictim', 'CriticalVictim', 'Engineer', 'KnowledgeSharing', 'KnowledgeSharing']","[3, 3, 1, 1, 4, 13, 13]"
I'm on my way to B6 whole we are hitting that one perfect,"['Room', 'Move']","[3, 10]"
all right transporter is an A and B victim labeled in,"['Transporter', 'Victim']","[5, 2]"
B6,['Room'],[3]
pardon me B8 you said what where was it engineer B6 I'm away,"['Room', 'Room', 'Engineer']","[3, 3, 4]"
I'm just gonna hang out and B6 for a sec,['Room'],[3]
yeah good call three critical victims we need to get those guys out ASAP,['CriticalVictim'],[1]
yes,['0'],[0]
oh these poor fellows,['0'],[0]
transporter window of the chancellor I3 a critical State B6,"['Room', 'CriticalVictim', 'Room', 'Transporter']","[3, 1, 3, 5]"
this is transporter doing the rounds in,['Transporter'],[5]
all right and that case I'll take one,['Plan'],[20]
B8 where those were they both A's,['Room'],[3]
they're all there's one a and one B the one that was labeled was a the one that wasn't was B,['0'],[0]
understood heading to B,['0'],[0]
this is engineer there are there's one regular victim M1 critical victim in A3,"['Room', 'CriticalVictim', 'Engineer', 'KnowledgeSharing', 'Room', 'Victim', 'Victim']","[3, 1, 4, 13, 3, 2, 2]"
A3 R this is medic I'm on my way,"['Room', 'Medic', 'Move']","[3, 6, 10]"
B i1 tellers,['Room'],[3]
shooting for critical victims,['CriticalVictim'],[1]
yes,['0'],[0]
this is transporter should I check F and E regions,"['Search', 'Transporter', 'YesNoQuestion']","[15, 5, 18]"
yes please have you gone all the critical Xin a or in a B6 first,"['Room', 'CriticalVictim', 'YesNoQuestion']","[3, 1, 18]"
I know getting into A3 engineer,"['Room', 'Engineer']","[3, 4]"
B6,['Room'],[3]
pardon me never die Mom I'm on my way,['Move'],[10]
I can,['0'],[0]
all right is it critical in A3 if you don't mind transporter,"['Room', 'Transporter']","[3, 5]"
this is transporter still still helping out victims in B6,"['Room', 'Instruction', 'RescueInteractions', 'Transporter', 'Victim']","[3, 19, 12, 5, 2]"
wonderful I'll get it,['Plan'],[20]
can you repeat,['YesNoQuestion'],[18]
this is your near did we already take A1 and A2,"['Room', 'Room', 'YesNoQuestion']","[3, 3, 18]"
we chat a one and a two,['0'],[0]
alright I'll check A4,"['Room', 'Plan', 'Search']","[3, 20, 15]"
open E2 transporter,"['Room', 'Transporter']","[3, 5]"
this transporter repeat what you said about the victim,"['Transporter', 'Victim']","[5, 2]"
there is a victim and A3 critical,"['Room', 'Victim']","[3, 2]"
understood,['0'],[0]
engineer where you at,['Engineer'],[4]
this engineer currently an A4,"['Room', 'Engineer']","[3, 4]"
before graduate anyone in there,['0'],[0]
no,['0'],[0]
all right well we got one more test five people where is everyone at rubber the victim set your experience he engineer,"['Engineer', 'Victim']","[4, 2]"
i2a B,['0'],[0]
L2 B6 B EA A1 F4 B2 check B2,"['Room', 'Room', 'Room', 'Room', 'Room', 'Room']","[3, 3, 3, 3, 3, 3]"
i2a G3 B6 we got B6 and i2a A1 F4 B2 let's check B2,"['Room', 'Room', 'Room', 'Room', 'Room', 'Room', 'Room']","[3, 3, 3, 3, 3, 3, 3]"
there is a critical victim in here,"['CriticalVictim', 'KnowledgeSharing']","[1, 13]"
there is a critical victim,"['CriticalVictim', 'KnowledgeSharing']","[1, 13]"
all right I don't think we have enough time to get there but worth a shot oh no it's a men's bathroom,['ReportLocation'],[14]
woman's bathroom,['0'],[0]
all right,['0'],[0]
information for this over anything else just connecting the server,['0'],[0]
the next click open sir in the drop-down menu and finisher B F2 C mission to room,['Room'],[3]
pass,['0'],[0]
engineer Easton,['Engineer'],[4]
medic is done,['Medic'],[6]
transport is done,['Transporter'],[5]
this transporter are we allowed to talk about what we saw in the slides,['Transporter'],[5]
this is Chenier so we're going to have too many cigars and 15 minutes to carry out the mission,['0'],[0]
all right,['0'],[0]
this is medic I don't have any questions,['Medic'],[6]
okay this is medic I have some thoughts about how we should go around doing this it I think we can share some ideas but I'll go first I think it might be wise for transporter to effectively wait I believe it was transported that had the ability to C into room C,"['Plan', 'Plan', 'Medic', 'Transporter']","[20, 20, 6, 5]"
C which ones were threat rooms,['Room'],[3]
I think we can start with each lettered room so we go from A1 a4a and then B yada yada have the person determine which ones are threat rooms Mark those otherwise the eye the medic and the other team members sticks with me to mark critical,"['Room', 'Plan', 'Medic', 'Precedence', 'Room', 'Victim']","[3, 20, 6, 11, 3, 2]"
or not critical,['0'],[0]
victims and put them out in the hallway so we can expedite things,"['Plan', 'Victim']","[20, 2]"
okay,['0'],[0]
this is transporter I think that's a good idea but the transporter can see what type of critical or normal regular victim is in a room the engineer does that so I think engineer should do that,"['Engineer', 'Engineer', 'Plan', 'Victim', 'Transporter', 'Transporter', 'Victim']","[4, 4, 20, 2, 5, 5, 2]"
okay,['0'],[0]
okay,['0'],[0]
this is engineer I can tell you which rooms are threats and I have a list of most dangerous rooms with me but before you enter a room call out and I'll tell you if it is sensuous,"['Plan', 'Engineer', 'Move', 'Plan', 'Precedence']","[20, 4, 10, 20, 11]"
oh so you already have all of the you have a list of the threat rooms,['Room'],[3]
some of them I know the most severe ones are i4a E5 and C4 and appears the most severe ones are the ones with the critical victims,"['Room', 'CriticalVictim', 'Room']","[3, 1, 3]"
okay let's start heading over to the a section while we talk about this further I have Mission information saying that there are indeed people in those set rooms all of those e mentioned so that's worth knowing that we can tackle those as a team when we get to them,['Plan'],[20]
this is transferred and I'm work if there is anyone in the room stairs a regular victim A1,"['Room', 'KnowledgeSharing', 'Victim', 'Victim']","[3, 13, 2, 2]"
thank you,['0'],[0]
okay,['0'],[0]
and this is transporter if tell me if you want me to transport a victim,"['Plan', 'Transporter', 'Victim']","[20, 5, 2]"
that would be nice there are two currently in the hallway,['0'],[0]
okay,['0'],[0]
they are A and B they're marked,['0'],[0]
perfect,['0'],[0]
this a c victim that I think I can transport for the time being,"['Plan', 'Victim']","[20, 2]"
yeah this is engineer I am considerably slower so I think I'd leave the transport to you guys,"['Engineer', 'Transporter']","[4, 5]"
yes,['0'],[0]
I start going up the markers,['MarkerBlock'],[8]
thank you,['0'],[0]
engineer I'm gonna head over to A4,"['Room', 'Engineer']","[3, 4]"
C4 yeah I'll go with you,"['Room', 'Plan']","[3, 20]"
if you'd like to join me for the critical thank you,['CriticalVictim'],[1]
this is engineer careful A4 is threat room,"['Room', 'Engineer', 'ReportLocation', 'Room']","[3, 4, 14, 3]"
okay thank you,['0'],[0]
it's medic the person seems to be okay you see them,"['Medic', 'Victim']","[6, 2]"
this is a c victim I will be placing outside of the room thank you transporter,"['CriticalVictim', 'Plan', 'Transporter', 'Victim']","[1, 20, 5, 2]"
I'm addicted there is another victim here,['0'],[0]
yeah,['0'],[0]
okay let's see oh,['Instruction'],[19]
this is an a victim,"['Victim', 'Victim']","[2, 2]"
okay,['0'],[0]
engineer let's get out of this room because I believe it's clear,['Engineer'],[4]
window,['0'],[0]
okay fantastic transporter there's an a victim for you outside of room A4,"['Room', 'KnowledgeSharing', 'Transporter', 'Victim', 'Victim']","[3, 13, 5, 2, 2]"
engineer let us go into room B8,"['Room', 'Engineer', 'Move', 'Instruction']","[3, 4, 10, 19]"
this is near this is also a threat room so make cave in,"['Instruction', 'Room']","[19, 3]"
transported there is currently an a victim out in the hallway,"['KnowledgeSharing', 'Victim', 'Victim']","[13, 2, 2]"
okay,['0'],[0]
engineer can you assist me with this victim thank you,"['Engineer', 'Instruction', 'HelpRequest', 'Victim', 'YesNoQuestion']","[4, 19, 16, 2, 18]"
huh,['0'],[0]
okay,['0'],[0]
