utt,labels,tokenized
 type a victim,Victim,[2]
 oh interesting this is engineer it looks like areas C just got covered by Rubble,Engineer/Rubble,"[4, 7]"
 this is engineer I'm sorry I could not hear what you said could you repeat that for me please,Engineer/YesNoQuestion{topic:{you repeat that}},"[4, 18]"
 oh Zone c i c,0,[0]
 engineer can I have help right here in H1,"Engineer/YesNoQuestion{topic:{I have help}}/HelpRequest{agent:{I}, location:{H1}, helper:{engineer}}/Room","[4, 18, 3]"
 yes,0,[0]
 can you take that out into the hallway thank you,YesNoQuestion{topic:{you take that out}},[18]
 thank you transporter,Transporter,[5]
 H1 this is a transporter I can be there,Room/Transporter,"[3, 5]"
 and I will also need help in E3 clearing,"HelpRequest{agent:{I}, location:{E3}}/Room","[16, 3]"
 I've got two victims outside of G3,"Victim/KnowledgeSharing{exists:{two victims}, location:{outside of G3}}/Room","[2, 13, 3]"
 both victims outside G3 have been saved this medic engineer can you clear E3 here,"Victim/Triage{trget:{victims}, location:{outside G3}}/Room/Medic/Engineer/YesNoQuestion{topic:{you clear}}/Room","[2, 12, 3]"
 I heard a pressure plate,0,[0]
I'm heading to zoom in C this medic,"Movement{agent:{I}, target:{zoom}}/Medic","[10, 6]"
this is engineer,Engineer,[4]
 okay this is engineer I am on my way,Engineer/Movement{agent:{I}},"[4, 10]"
 okay,0,[0]
this is transporter I can do that if I see any,Transporter,[5]
 Q take this victim out thank you,Instruction{topic:{take this victim out}}/Triage{target:{this victim}},[19]
 that's a type c victim,CriticalVictim,[1]
 I will need help in C4,"HelpRequest{agent:{I}, location:{C4}}",[16]
 this is engineer I am on my way,Engineer/Movement{agent:{I}},"[4, 10]"
 thank you,0,[0]
 I would need help in room B 8,"HelpRequest{agent:{I}, location:{room B 8}}/Room","[16, 3]"
 the bigger office rooms B2 B3 B4 B5 and B6,Room/Room/Room/Room/Room,"[3, 3, 3, 3, 3]"
 this is medic I'm taking a,"Medic/Triage{agent:{I}, target:{a}}","[6, 12]"
 Zone C North has been a month,0,[0]
in B7,Room,[3]
 B5 B7,Room/Room,"[3, 3]"
 okay,0,[0]
 pass,Instruction{topic:{pass}},[19]
 this is transporter I'm taking a couple couple regular victims,"Transporter/Triage{agent:{I}, target:{a couple couple regular victims}}/Victim","[5, 12, 2]"
 the top one,0,[0]
transporter this is a type a victim right here,Transporter/Victim,"[5, 2]"
we have this is engineer we have 30 seconds left and there are yes,Engineer/KnowledgeSharing{exists:{yes}},"[4, 13]"
 I'm running to Zone a North to deposit one more victim,"Movement{agent:{I}, target:{Zone a}/Triage{agent:{I}, target:{one more victim}}/Victim","[10, 2]"
 that's a and this is a type B,Victim/Victim,"[2, 2]"
 this is transporter we seem to have fallen,Transporter,[5]
this is transporter I finished the survey,Transporter,[5]
this is medic I4 turned,Medic/Room,"[6, 3]"
this is the transporter I've also returned,Transporter,[5]
transporter is ready,Transporter,[5]
nope,0,[0]
no,0,[0]
 this is transporter yes so the things that have been cancelled are similar to last time zoom2 meetings and the storage reorganization have been canceled,Transporter/Meeting,"[5, 9]"
 okay we have it training G3 we don't need to look that storage organization and then B6 is technical exchange meeting is that still on for today,"Room/Precedence{first:{we don't need to look}, second:{B6 is technical exchange meeting}}/Room/Meeting","[3, 11, 3, 9]"
 technical exchange this is transporter technical exchange meeting is one of the high 10 B account ones,Transporter/Meeting,"[5, 9]"
 sight of rooms,Room,[3]
right,0,[0]
 this is transporter sounds good,Transporter,[5]
 okay so what zone do you want to start off with this is a medic left center right side,Question{topic:{zone}}/Medic,"[17, 6]"
 we could start left because you said B6 was a big meeting,Room/Meeting,"[3, 9]"
 yes this is engineer at there are a lot of Hazards this time on the map,Engineer/KnowledgeSharing{exists:{a lot of hazards}},"[4, 13]"
 there are several Hazard rooms so just be careful,KnowledgeSharing{exists:{several Hazard rooms}}/Room/Instruction{topic:{be careful}},[13]
 okay,0,[0]
this is transporter I think we can probably leave the probability leave some of the save victims out here and then go back for them later,"Transporter/Victim/Precedence{first:{leave the probability leave some of the save victims out}, second:{go backfor them}}","[5, 2, 11]"
I would agree this medic,Medic,[6]
 yeah I just got locked in A3 this is medic,"HelpRequest{agent:{I}, location:{A3}}/Room/Medic","[16, 3, 6]"
 can you help me with the critical as well,"HelpRequest{agent:{me}, helper:{you}}/YesNoQuestion{topic:{you help me}}/CriticalVictim","[16, 1]"
 okay,0,[0]
 yep,0,[0]
 so those are all critical yep,CriticalVictim,[1]
 I can't help me in this room C6,"HelpRequest{agent:{I}, location:{this room C6}}/Room/Room","[16, 3, 3]"
 this will be a Type A,Victim,[2]
 sounds good this is medic I'm saving the top two out of B9,"Medic/Triage{agent:{I}, target:{the top two}, location:{out of B9}}/Room","[6, 12, 3]"
 yep thank you,0,[0]
 and what kinds are these at B 8,Question{topic:{kinds}}/Room,"[17, 3]"
 apologies for that,0,[0]
 this is transporter thanks I'll be there in a second,"Transporter/Movement{agent:{I}, target:{there}}","[5, 10]"
is that correct this medic,YesNoQuestion{topic:{that correct}}/Medic,"[18, 6]"
 okay,0,[0]
 okay,0,[0]
 I believe so if you would like to go in because there might be Rubble that falls and check that would be great I'm going to head into the middle Zone to start searching,"Rubble/Plan{topic:{head into}, agent:{I}}","[7, 20]"
 A3,Room,[3]
 okay I just went in and checked I don't think there's anybody else thank you,"Precedence{first:{went in}, second:{checked}}/KnowledgeSharing{exists:{anybody else}}",[11]
 I have a critical in D4,CriticalVictim/Room,"[1, 3]"
 I also just got locked into D4,"HelpRequest{agent:{I}, location:{D4}}/Room","[16, 3]"
 that's a b outside,Victim,[2]
 I'm going to grab these actually and move these out,"Plan{topic:{grab these}, agent:{I}}/Triage{agent:{I}, target:{these}}",[20]
 C3,Room,[3]
 I just took I'm taking two out of D2,"Triage{agent:{I}, target:{two}, location:{out of D2}}/Room","[12, 3]"
 there there's one B left,KnowledgeSharing{exists:{one B}}/Victim,"[13, 2]"
 is that medic medic was that one an a,YesNoQuestion{topic:{that medic}}/Medic/Medic/Victim,"[18, 6, 6, 2]"
 the one that was just picked up,Victim,[2]
 okay thank you,0,[0]
 this is transporter that is correct,Transporter,[5]
 this is engineer I am on my way,Engineer/Movement{agent{I}},"[4, 10]"
 C3 medic,Room/Medic,"[3, 6]"
 hey,0,[0]
 that would have been transported,Victim/Triage{target:{that}},"[2, 12]"
 management meeting is D4 which I believe we handled can you reread the other ones for me,"Meeting/Room/HelpRequest{agent:{me}, helper:{you}}/YesNoQuestion{topic:{you reread}}","[9, 3, 16]"
 and men's meeting,Meeting,[9]
 it looks like F4 sustained moderate damage as well this is engineer,Room/Engineer,"[3, 4]"
yes,0,[0]
 yes,0,[0]
 oh this is engineer I lost signal to my GPS,Engineer,[4]
 okay,0,[0]
 this is a type B victim here engineer and a Type A,Victim/Engineer/Victim,"[2, 4, 2]"
there's a couple of,KnowledgeSharing{exists:{a couple of}},[13]
 come in here,Instruction{topic:{come in here}},[19]
 say type B,Victim,[2]
 yep,0,[0]
 this is transport of this one here I can go take it,"Transporter/Triage{agent:{I}, target:{it}}","[5, 12]"
 I'm in room K1 which is between the blue and yellow hallway Zone the right side I need assistance with a nevermind nevermind,"ReportLocation{agent:{I}, location:{room K1}}/Room/HelpRequest{agent:{I}}",[14]
 yes,0,[0]
 green,0,[0]
 I am on my way,Movement{agent:{I}},[10]
 and this is transporter just double confirming that I still don't have my map,Transporter,[5]
 this is medic just got map back,Medic,[6]
 transporter same thing,Transporter,[5]
 this one yes please there's a critical condition in the back,"KnowledgeSharing{exists:{a critical condition}, location:{in the back}}",[13]
 this is transporter I found another critical in M3,Transporter/CriticalVictim/Room,"[5, 1, 3]"
 B meeting,Meeting,[9]
 I do not believe we have searched F4 F4 is lunch this is medic,Room/Room/Medic,"[3, 3, 6]"
 transporter here that's because there's still quite a few that have to be transported and you know work on that right now,Transporter/KnowledgeSharing{exists:{quite a few}}/Instruction{topic:{work on}},"[5, 13]"
 I need help up in M3 this is medic there's a critical,"HelpRequest{agent:{I}, location:{M3}}/Medic/CriticalVictim/KnowledgeSharing{a critical}}",[16]
 engineer this is medic can you actually make sure that F4 is cleared for when we get there,Engineer/Medic/Room/YesNoQuestion{topic:{you actually make sure}},"[4, 6, 3, 18]"
 and transporter can you let me know when you're on your way to M3,Transporter/YesNoQuestion{topic:{you let me know}}/Room,"[5, 18, 3]"
this is engineer I'm experiencing really bad lag right now my Minecraft is not functioning properly,Engineer,[4]
 and transporter if you can also assist in j4,"Transporter/HelpRequest{location:{j4}, helper:{you}}/Room","[5, 16, 3]"
this is transporter I can come over,Transporter,[5]
and I'll come back for both of these funds have delivered this critical,"Plan{topic:{come back}, agent:{I}}/CriticalVictim","[20, 1]"
 this is L1 L3 yes,Room/Room,"[3, 3]"
transporter years stuck,Transporter,[5]
 so if you could just we are both stuck at the moment,HelpRequest{agent:we},[16]
 safe victims,Victim,[2]
 this is transporter a great engineer there is a victim in here that you could pick up as well when you go,"Transporter/Engineer/KnowledgeSharing{exists:{a victim}, location:{in here}}/Triage{agent:{you}, target:{a victim}, location:{in here}}","[5, 4, 13]"
 being very detrimental to Performance right now,0,[0]
 hi this is transporter if you see any safe,Transporter,[5]
 this is engineer there are there is one regular victim and one critical victim in zone or in F4,"Engineer/KnowledgeSharing{exists:{one regular victim and one critical victim}, location{in zone or in F4}}/Victim/CriticalVictim/Room","[4, 13, 2, 1, 3]"
this is transporter I finished the reflection study,Transporter,[5]
this is medic I've completed the survey,Medic,[6]
okay you all can join us for now,0,[0]
 server 1,0,[0]
 hopefully,0,[0]
nope,0,[0]
5432,0,[0]
 all right this is per information I did tell you all that I have a dog on my lap and he's very cute,0,[0]
 yes but let's see I think more importantly what do you guys think about starting on the right side now should we still do the left side start because we rubbed it really well or should we go right side because it seems pretty linear,Question{topic:{you guys think about}}/MarkerBlock/Room,"[17, 8, 3]"
 that sounds good,0,[0]
 cool,0,[0]
 perfect perfect,0,[0]
 okay and we're still going with the game plan where transporter goes ahead and like marks the rooms and then me and medic engineer and medic work room to room,"Transporter/MarkerBlock/Precedence{first:{transporter goes ahead}, second:{me and medic engineer and medic work}}/Medic/Engineer/Medic/Room/Room","[5, 8, 11, 6, 4, 6, 3, 3]"
 that's correct yeah,0,[0]
 okay,0,[0]
 and I think I made like I think we should do the same thing engineer last time we're like you just went ahead and got there and got stuff while I stabilize other people I had that was a very good use of our time,"Instruction{topic:{do the same thing}}/Engineer/Triage{agent:{I}, target:{other people}}",[19]
 now for real,0,[0]
 correct,0,[0]
 like that one little hallway space so we'll be with them like you know pretty quickly this is transporter when I went in there however many times ago it was kind of confusing but I will do my best to Mark each of them last time there wasn't very much,"Plan{topic:{be with them}, agent:{we}}/Transporter/MarkerBlock/KnowledgeSharing{exists:{very much}}",[20]
 five seconds,0,[0]
 mmm,0,[0]
 yeah you got it as medic I'll definitely try to be more on top of that I'll be placing the critical A and B as well near people a bit more to make it easy,"Medic/Plan{topic:{definitely try to be more}, agent:{I}}/Plan{topic:{be placing}, agent:{I}}/CriticalVictim/CriticalVictim/Victim","[6, 20, 1, 1, 2]"
 which one H1,Question{topic:{one H1}}/Room,"[17, 3]"
 heck yeah richest knockers one up you're all good H1 yes please,Room,[3]
 okay I'm coming,Movement{agent{I}},[10]
 all right,0,[0]
 okay we got a critical of the regular,CriticalVictim,[1]
 which one is this one,Question{topic:{one}}/YesNoQuestion{topic:{this one}},[17]
 this is transporter there is only two critical victims at I4 and j4,"Transporter/KnowledgeSharing{exists:{only two critical victims}, location:{i4 and j4}}/Room/Room","[5, 13, 3, 3]"
 okay is that a type A you have over there,Victim,[2]
 this is transport are on the way,Transporter/Movement,"[5, 10]"
 H1 0i C,Room,[3]
 okay there's no victim Zone i1,"KnowledgeSharing{exists:{no victim}, location:{Zone i1}}",[13]
 all right apologies about the dog,0,[0]
 this is transporter I got stuck in h1a,"Transporter/HelpRequest{agent:{I}, location:{h1a}}/Room","[5, 16, 3]"
 let me help you okay you go ahead medic I'll stick up with Transporter,"Plan{topic:{help you}, agent:{me}}/Medic/Plan{topic:{stick up}, agent:{I}}/Transporter","[20, 5]"
 I need a help when you can in I4,"HelpRequest{agent:{I}, location:{I4}, helper:{you}}/Room","[16, 3]"
 I'm on my way,Movement{agent{I}},[10]
 are you asking for engineer or transporter,YesNoQuestion{topic:{you asking for}}/Engineer/Transporter,"[18, 4, 5]"
 B asking for educator or can you put the victim critical,CriticalVictim/YesNoQuestion{topic:{you put the victim critica}}/CriticalVictim,"[1, 18, 1]"
 it is a okay it was a critical update on the door,0,[0]
 physical over here,0,[0]
 transporter in front of j4 there is a critical victim,"Transporter/Room/KnowledgeSharing{exists:{a critical victim}, locatin:{in front of j4}}/Room","[5, 3, 13, 3]"
 all right the one that you just took was a type B victim,Victim,[2]
 okay there's three critical victims in here,"Triage{agent:{you}, target:{the one}}/Victim/Victim","[12, 2, 2]"
 oh good lord,0,[0]
 yeah,0,[0]
 Brett this is critical as well B the dance,CriticalVictim/Victim,"[1, 2]"
 okay I'm just going to stick around in a,"Plan{topic:{stick around}, agent:{I}}",[20]
 awesome,0,[0]
 fantastic you want to start going ahead now I'll get it,0,[0]
 this is transporter what's your location,Transporter/Question{topic:{your location}},"[5, 17]"
 you only pick one,0,[0]
 yes please,0,[0]
 okay moving on to keep going,Movement,[10]
 I will put a critical victim in front of the B area,"Triage{agent:{I}, target:{critical victim}, location:{in front of the B area}/CriticalVictim/Plan{topic:{put a critical victim}, agent:{I}}",[12]
 medic on my way,Medic/Movement{agent:{I}},"[6, 10]"
 regular victims B K4,Victim/Room,"[2, 3]"
 s fella is B,0,[0]
transporter right here,Transporter,[5]
okay we got two victims in K2 yeah ones a critical and the other one's a regular,Victim/Room/CriticalVictim/Victim,"[2, 3, 1, 2]"
 yeah ones are critical and the other ones,CriticalVictim/Victim,"[1, 2]"
 K2 I just move getting in it's a threat room,Room/Movement{agent:{I}/Room,"[3, 10, 3]"
 does transporter check into far right side M's,Transporter/YesNoQuestion{topic:{transporter check}},"[5, 18]"
 you can go ahead now I got this,0,[0]
 this is medic transport I'll need your help in sorry J2 no K2 part of me there is a critical person in K2,"Medic/HelpRequest{agent:{I}, location:{J2}, helper:{your}}/Room/Room/CriticalVictim/KnowledgeSharing{exists:{a critical person}, location:{K2}}/Room","[6, 16, 3]"
 okay,0,[0]
 there's also two critical victim Zone the M's,KnowledgeSharing{exists:{two critical victim}}/CriticalVictim,"[13, 1]"
 I need help in M1 sorry L1,"HelpRequest{agent:{I}, location:{L1}}/Room/Room","[16, 3, 3]"
 yep,0,[0]
 transporter on the way,Transporter/Movement,"[5, 10]"
 okay,0,[0]
 do you want help with that transporter,YesNoQuestion{topic:{you want help}}/Transporter,"[18, 5]"
 I'll go ahead as medic Hall go ahead and clear would you mind starting mining out L2 please,Medic/Instruction{topic:{go ahead and clear}}/YesNoQuestion{topic:{mid starting}}/Room,"[6, 19, 3]"
 or M2 pardon I'm junior thank you yes,Room,[3]
 M2 okay then started transporter I cannot help you transport those victims engineer,"Room/Precedence{second:{then}}/Transporter/Triage{agent:{I}, target:{those victims}}/Victim/Engineer","[3, 11, 2, 4]"
 in K2 yes there should be two victims in there,"Room/KnowledgeSharing{exists:{two victims}, location:{in there}}/Victim","[3, 13, 2]"
 we need help over here in K2,"HelpRequest{agent:{we}, locatio:{K2}}/Room","[16, 3]"
 thank you,0,[0]
 you're all good,0,[0]
 and,0,[0]
 rescue Kylie some help over and M1 to stabilize,HelpRequest{location:{M1}}/Victim/Room,"[16, 2, 3]"
 there you go,Movement,[10]
 cross-country trip ain't that the truth,0,[0]
 you got there,0,[0]
 make your way over to critical transporter,"Instruction{topic:{make your way}, agent:{transporter}/CriticalVictim/Transporter","[19, 1, 5]"
 is the threat room by the way engineer,YesNoQuestion{topic:{the threat room}}/Room/Engineer,"[18, 3, 4]"
 I mean qualities,0,[0]
 I'm in I'm in M3 can oh apologies,"ReportLocation{agent:{I}, location:{M3}}/Room","[14, 3]"
 you went putting B breather,0,[0]
 if your depression,0,[0]
 so I cannot,0,[0]
 yes,0,[0]
 yes,0,[0]
 this is transporter so I start getting the D and H or come stand by D2,Transporter/Plan{topic:{start getting}}/Room,"[5, 20, 3]"
 and here we have the chance would you mind getting over to D3 the dissection,YesNoQuestion{topic:{you mind getting over}}/Room,"[18, 3]"
yeah you're gonna have to give me a second because C zone is completely blocked off,Instruction{topic:{give me a second}},[19]
 I understand,0,[0]
 I need you over at D3,"HelpRequest{agent:{I}, location:{D3}, helper:{you}}/Room","[16, 3]"
 a medic communicate again I could go Red Green Path I'm on my way,Medic/Instruction{topic:{communicate again}}/Movement{agent:{I}},"[6, 19]"
 actually transport I need you and B1,"Transporter/HelpRequest{agent:{I}, location:{B1}, helper:{transport}}/Room","[5, 16, 3]"
 okay,0,[0]
 oh I see D1 i c you C,Room,[3]
 as for team of the chance and B3 there is a b victim,Room/Victim/KnowledgeSharing{exists:{a b victim}},"[3, 2, 13]"
 we got it,0,[0]
 oh got you,0,[0]
 oh God,0,[0]
 this is transporter I will start working on F and H,"Transporter/Plan{topic:{start working on}, agent:{I}}","[5, 20]"
 there's,0,[0]
 all right I think he's got to keep mining it oh hey there it is,KnowledgeSharing{exists:{it}},[13]
 okay,0,[0]
 there you go,0,[0]
 C La B ice all right,0,[0]
 f okay,0,[0]
 engineer you need engineer,Engineer/Engineer,"[4, 4]"
 yes engineer yes please,Engineer,[4]
 there you go,Movement,[10]
 fantastic a transporter I'll need your help in G3 there is a type a victim,"Transporter/HelpRequest{agent:{I}, location:{G3}, helper:{your}}/Room/KnowledgeSharing{exists:{a type a victim}}/Victim","[5, 16, 2]"
 okay I'm gonna keep going it seems we have a victim in E3,Movement{agent:{I}}/Victim/Room,"[10, 2, 3]"
 medic,Medic,[6]
 E3 you said,Room,[3]
 E3,Room,[3]
 all right this is medic transport I need you and E3 for critical,"Medic/HelpRequest{agent:{I}, location:{E3}, helper:{you}}/CriticalVictim","[6, 16, 1]"
 I believe we stabilize them but we needed your help over there in fact I will take the one in E3 if you can go check M1,"Triage{agent:{we}, target:{hem}}/HelpRequest{agent:{we}, location:{there}, helper:{your}}/Plan{topic:{take the one}, agent:{I}}/Triage{agent:{I}, target:{the one}, location:{E3}}/Room/Room","[12, 3, 3]"
 yes you guys word,0,[0]
no victim detected in M1,Victim/Room,"[2, 3]"
nothing here no,"KnowledgeSharing{exists:{nothing}, location:{here}}",[13]
 okay,0,[0]
 yeah that's for sure,0,[0]
I miss you too,0,[0]
 there's a critical in your just let me know when you need,KnowledgeSharing{exists:{a critical}}/CriticalVictim/Instruction{topic:{me know}},[13]
 this is transporter on the way checking room Zone the way,Transporter/Movement{agent:{transporter}}/Instruction{topic:{get A2}}/Room/Room,"[5, 10, 3, 3]"
 we should capitalize on critical victims first so let's get A2 followed by B8,0,[0]
 yes,0,[0]
 did you get the critical,YesNoQuestion{topic:{you get the critical}}/CriticalVictim,"[18, 1]"
 fantastic,0,[0]
 there will be a critical victim in A2 marker for you,"KnowledgeSharing{exists:{a critical victim}, location:{A2}}/Room/MarkerBlock","[13, 3, 8]"
 gorgeous,0,[0]
 sorry to the guys who are critical but we're going to prioritize critical first,"CriticalVictim/Plan{topic:{prioritize critical first}, agent:{we}}/CriticalVictim","[1, 20, 1]"
 okay let's get this guy real quick and engineer,Instruction{topic:{get this guy}}/Triage{target:Pthis guy}}/Engineer,"[19, 4]"
 understood,0,[0]
 yep,0,[0]
 understood,0,[0]
 we have four more,Victim,[2]
 all right transport a bear is a critical in B8 and it's a threat room to watch out,CriticalVictim/Room/Room,"[1, 3, 3]"
 okay I believes B7,Room,[3]
 let's make a way to B7 engineer,"Instruction{topic:{make a way to B7}, agent:{engineer}}/Room/Engineer","[19, 3, 4]"
 heck all right I'm just going to save all the save him,"Plan{topic:{save all the save him}, agent:{I}}/Victim","[20, 2]"
 B7,Room,[3]
 I think it's time for this,0,[0]
 oh damn,0,[0]
 I think if you already,0,[0]
engineer Stone,Engineer,[4]
let us know,Instruction{topic:{us know}},[19]
 in any case we're going to do a check in after,"Plan{topic:{do a check}, agent:{we}}",[20]
fantastic,0,[0]
medic is back,Medic,[6]
medic has a cat in their lap now,Medic,[6]
awesome,0,[0]
my audio okay yes,0,[0]
one by one medic,Medic,[6]
transport is ready,Transporter,[5]
yes can you not hear me,YesNoQuestion{topic:{hear me}},[18]
yeah,0,[0]
they are stupid,0,[0]
also let us know do not proceed to the next slide so I'm going to start the one minute I want to say it again please continue but while you're reading,"Instruction{topic:{let us know}}/Instruction{topic:{proceed to the next slide}}/Plan{topic:{start},agent:{I}}",[19]
one it one minute to help,0,[0]
Okay one minute,0,[0]
Okay one minute timer is up please and Adam basically friend yeah they're close Okay green participants as a reminder you're encouraged to communicate with your teammates during the mission always blue suit your extended to make sure that it's your call zone for example if your engineer today this is ground janilla,0,[0]
Israel also that Revival of a wall will be at the starting zone and we will meeting there for two minutes B uses,0,[0]
Bobby role,0,[0]
move over one,0,[0]
another word for medic,Medic,[6]
engineer,Engineer,[4]
then we will start in 5 4 3 2 1 all right,0,[0]
on transport you should capitalize the ones that are not mentioned and the critical Mission information just to confirm we all see that A1 A4 B2 B6 etcetera,"Transporter/Instruction{topic:{capitalize the ones that are not mentioned}/Plan{topic:{see},agent:{we}}/Room/Room/Room/Room","[5, 19, 3, 3, 3, 3]"
this is transporter no I do not see that,Transporter,[5]
transporter my critical Mission says on the left side red two or more attendees in technical exchange meeting lunch management meeting in the middle,Transporter/KnowledgeSharing{exists:{two or more attendees}}/Meeting/Meeting,"[5, 13, 9, 9]"
this is engineer my current location information of the severe damage is i2a,"Engineer/ReportLocation{agent:{engineer}l,ocation:{i2a}}/Room","[4, 14, 3]"
engineer severe damage i2a fantastic so mind tells me basically where there's a large grouping of people as medic engineer years tells you where is it there's a lot of damage and then what is yours tell you transporter,Engineer/Room/Question{topic:{large group of people}}/Medi/Engineer/Question{topic:{it}}/KnowledgeSharing{exists:{a lot of damage}}/Question{topic:{yours}}/Transporter,"[4, 3, 17, 5]"
this transfer I believe it's saying what areas have at least two or more attendees one attendees and cancelled so where people probably are not,Question{topic:{areas have at least two or more attendees}},[17]
okay,0,[0]
is it transporter we still going right,Transporter/YesNoQuestion{topic:{transporter}},"[5, 18]"
we are going to go right yes starting off at the green said,"Plan{topic:{to go right},agent:{we}}/Instruction{topic:{starting off}}",[20]
red H1 actually engineer,Room/Engineer,"[3, 4]"
on my way,Movement,[10]
actually never mind continue on die one I'll get this,"Instruction{topic:{continue on die 1}}/Plan{topic:{get this},agent:{I}}",[19]
all right,0,[0]
transport,Transporter,[5]
critical victim and I2,CriticalVictim/Room,"[1, 3]"
fantastic I'll be there in a sec,"Plan{topic:{be there in a sec},agent:{I}}",[20]
there's a victim I do,Victim,[2]
it's transport having a hard time finding that b,Transporter,[5]
in H1 oh I see I see,Room,[3]
understood,Instruction,[19]
wait,Instruction{topic:{wiat}},[19]
i2a Zone i2a was the severe one so that was the one we already took care of,Room/KnowledgeSharing{exists:{the severe one}},"[3, 13]"
okay,0,[0]
is it transported you want me to break the carpets or no,Transporter/YesNoQuestion{topic:{break the carpets}},"[5, 18]"
I'm on my way,Movement{agent:{I}},[10]
engineer please if you wouldn't mind taking your way to the next place that needs to be cleared,Engineer/HelpRequest{helper:{engineer}},"[4, 16]"
okay,0,[0]
remember to brake and put back the carpets you're finished there,Instruction{topic:{break and put back the carpet}},[19]
correct,0,[0]
always good fine engineer all right,Engineer,[4]
there's a critical victim for you in L3,"KnowledgeSharing{exists:a critical victim},location{L3}}/CriticalVictim/Room","[13, 1, 3]"
this is medic I transported you confirm you've already gotten the i3a victim correct,"Medic/YesNoQuestion{topic:{got the victim},location{i3a}}/Victim/Room","[6, 18, 2, 3]"
a transporter okay fantastic,Transporter,[5]
a testicle is there was anyone in K3,"YesNoQuestion{topic:{anyone},location:{K3}}/Room","[18, 3]"
when you scream,0,[0]
room K3,Room,[3]
no victim Zone here,"KnowledgeSharing{exists:{no victim},location:{zone here}}/Victim/Room","[13, 2, 3]"
fantastic awesome,0,[0]
no as I'm on my way,Movement{agent:{I}},[10]
all right this would be victim room,Room,[3]
let's put our lives on the map or an a victim is if you what am I getting them,0,[0]
understood on the way,Movement,[10]
is a transporter where you C critical in K1,"Transporter/KnowledgeSharing{exists:{ C critical},location:{K1}}/CriticalVictim/Room","[5, 13, 1, 3]"
okay on my way to yes I'm working on them,"Movement/Triage{agent:{I},target:{them}}","[10, 12]"
ahead of the game,0,[0]
oh boy that's always fun,0,[0]
all right,0,[0]
God,0,[0]
believe,0,[0]
just Zone like M2 R M3 die I have nothing on my mission information but it doesn't hurt to check,Room/Instruction{topic:{check}},"[3, 19]"
this is transported what's your location,Transporter/Question{topic:{your location}},"[5, 17]"
this is transporter what's your location,Transporter/Question{topic:{your location}},"[5, 17]"
where,0,[0]
is it transporter you said M3 was critical,Transporter/YesNoQuestion{topic:{M3 is critical}}/Room,"[5, 18, 3]"
correct,0,[0]
oh hey we are 20 seconds at a time last time,0,[0]
fantastic,0,[0]
I'm going to start at G3 this is medic Hall strategy G3,"Plan{topic:{start at G3},agent:{I}}/Medic/Room","[20, 6, 3]"
I4,Room,[3]
G3 Red Save,Room/Instruction{topic:{save}},"[3, 19]"
I am going over to die for,"Plan{topic:{going over to D4},agent:{I}}",[20]
I'd say you keep going over to the B section clear any debris that you need,"Instruction{topic:{keep going},agent:{you}}/Room/Instruction{topic:{clear any debris}/Rubble","[19, 7]"
I4 C okay yes this is there this is transporter though is to victims in i4a,"Room/Transporter/KnowledgeSharing{exists:{victim},location:{i4a}}/Victim/Room","[3, 5, 13, 2, 3]"
all right this is A2 near there are two victims in D4 one of them is critical,"Room/KnowledgeSharing{exists:{two victims},location:{D4}}/Victim/Room/CriticalVictim","[3, 13, 2, 3, 1]"
engineer this is an a victim,Engineer/Victim,"[4, 2]"
D4,Room,[3]
Isaac,0,[0]
yes,0,[0]
this is transporter I'm checking i3a,"Transporter/Plan{topic:{checking i3a},agent:{I}}/Room","[5, 20, 3]"
add red help sight smoking enter D4,"HelpRequest{agent:{red},location:{D4}}/Room","[16, 3]"
oh is it is a transporter stuck in i3,"YesNoQuestion{topic:{transporter stuck},location:{i3}}/Transporter/Room","[18, 5, 3]"
engineer on the way to D4 and then I will make my way over to i3,"Engineer/Movement{agent:{engineer},target:{D4}}/Room/Plan{topic:{make my way},agent:{I}}/Room","[4, 10, 3]"
yes I am currently in D4,"ReportLocation{agent:{I},location:{D4}}/Room","[14, 3]"
this is engineer where you medic,Engineer/Question{topic:{medic}}/Medic,"[4, 17, 6]"
this is engineer worrying,Engineer,[4]
all right friend has a cut over I3 already,Room,[3]
this transporter understood,Transporter,[5]
it's going to take me a minute,"Plan{topic:{take them},agent:{I}}",[20]
all right,0,[0]
this transporter turnaround engineer turn around,"Transporter/Instruction{topic:{turn around},agent:{engineer}}/Engineer","[5, 19, 4]"
sorry,0,[0]
thank you,0,[0]
this is transporter medic what is your location,Transporter/Medic/Question{topic:{medic}},"[5, 6, 17]"
understood,0,[0]
and here let's go to head where you go next,Question{topic:{you go next}},[17]
C2 please,Room,[3]
this is transporter I'm stuck in D4,"Transporter/HelpRequest{agent:{I},location:{D4}}/Room","[5, 16, 3]"
oh,0,[0]
I've lost GPS,0,[0]
fantastic,0,[0]
I'm assuming this is part of the simulation,0,[0]
same here use color codes based on we know areas we can still do it,Instruction{topic:{use color codes}},[19]
transporter,Transporter,[5]
yep,0,[0]
engineer let's head over to the right section or so the left section go to B A says,Engineer/Plan{topic:{head over to the right section or the left section}},"[4, 20]"
and pastic,0,[0]
she's right I'm on my way to C3,"Movement{agent:{I},target:{C3}}/Room","[10, 3]"
all right once you get here would you mind clearing the way they're engineer,"Instruction{topic:{clearing the way},agent:{you}}/Engineer","[19, 4]"
